esperanto,english,cefr_level,is_suspicious
Neĝeco ol cent m ofte nomiĝas nul .,Visibility less than 100 m is often called zero .,B1,False
Neĝeco de malpli ol 100 m kutime estas raportita kiel nulo.,Visibility of less than 100 m is usually reported as zero .,B1,False
Oksigeno estas la plej kutima elemento de la amaseto sur la Tero.,Oxygen is the most common element by mass on Earth .,B1,False
"Ekde la mateno de vendredo , la 21a de julio , la fajro estis raportita je 747,08 akreoj en 15 ujoj.","By the morning of Friday , July 21 , the fire had been reported at 74,083 acres at 15 % containment .",B1,False
"Tre malmulte oni scias, kiom longe ili vivas.",Very little is known about how long they live .,B1,False
Estis du fazoj ĝis la operacio .,There were two phases to the operation .,B1,False
Estis du partoj por la operacio .,There were two parts to the operation .,B1,False
La unuo temas pri multaj akvoproblemoj en industrio kaj industrio.,The unit deals with many water issues in industry and mining .,B1,False
"La unuo temas pri la pri interkomunika akvo, kiu koncernas la industrion kaj min .",The unit deals with cross disciplinary water issues relating to industry and mining .,B1,False
La estro en laŭleĝa sistemo servas kiel la centro de politika aŭtoritato de la ŝtato .,The executive in a legal system serves as the center of political authority of the State .,B1,False
La unua movado estas skribita en filoata formo.,The first movement is written in sonata form .,B1,False
"Tamen, dum la 20-a jarcento la rivero plimalboniĝis.","However , during the 20th century the river got worse .",B1,False
"Parolas vortoprovizo, kiun oni uzas per parolo ĉiujn vortojn.",A person 's speaking vocabulary is all the words they use in speech .,B1,False
"La vortoprovizo uzata estas ĉiuj vortoj, kiujn homo konas kaj uzas.",The vocabulary a person uses is all the words that person knows and uses .,B1,False
"Plia detalo pri la sano de la disketingo povas esti atingita, ekzamenante la S-ron M. R. T. Atributoj.",More detail on the health of the drive may be obtained by examining the S. M. A. R. T. Attributes .,B1,False
"La 18080 sennombrado trovis la loĝantaron de Usono ĝis 50,189,209.","The 1880 census found the population of the United States to be 50,189,209 .",B1,False
Kreditoj prenis el albumo notojn.,Credits taken from album notes .,B1,False
La kutima sezono finiĝas en la mezo de aprilo.,The regular season ends in the middle of April .,B1,False
"Ĉirkaŭ la mezo de aprilo, la normala sezono finiĝas.","Around the middle of April , the regular season ends .",B1,False
En vendredo la stirantoj havis 45 - liberan praktikon kaj 30-jaran seancon.,"On Friday , drivers had a 45 - minute free practice session and a 30 - minute qualifying session .",B1,False
En pli lastaj jaroj multaj projektoj provis ponto interkonsideli la truojn de nia scio kaŭzita de la zono de Evito.,"In more recent years , many projects have attempted to bridge the gap in our knowledge caused by the Zone of Avoidance .",B1,False
Dum decembro ĝis marto la lago turniĝas al blua koloro.,"During December to March , the lake turns to a vibrant cobalt blue color .",B1,False
"En 2007 Rose suferis apopleksion, kiu lasis lin kun parolado kaj movado-forzo.","In 2007 , Rose suffered a stroke that left him with speech and movement difficulties .",B1,False
La meza kontemeco estas la parto de la ludo post la plej multaj pecoj evoluis .,The middlegame is the part of the game after most pieces have been developed .,B1,False
La meza kontemeco estas la parto de la ludo kiu komenciĝas post la malfermo de .,The middlegame is the part of the game which starts after the opening .,B1,False
Ekde 2002 li estis ankaŭ eksterlandaj konsilantoj de Francio.,"Since 2002 , he was also foreign trade advisers of France .",B1,False
Ekde 2002 li ankaŭ estas konsilanto de Francio.,"Since 2002 , he has also been an adviser of France .",B1,False
La supra flanko de la flugiloj estas malheleta ruĝeta - bruna koloro.,The upper side of the wings is a dark reddish - brown color .,B1,False
Seksua reprodukto unue aperis antaŭ ĉirkaŭ unu miliardo da jaroj.,Sexual reproduction first appeared about a billion years ago .,B1,False
Aerigorampado igas la temperaturon de objekto malpli malalta per aero.,Air cooling is making the temperature of an object lower using air .,B1,False
Polo ne ĉiam ludas poneojn.,Polo is not always played on ponies .,B1,False
Vaganto daŭre moviĝas pro diversaj kialoj.,Nomads keep moving for different reasons .,B1,False
"La specimeno verŝajne ne plene kreskis, kiam ĝia morto estis mortanta.",The specimen was probably not fully grown at the time of its death .,B1,False
Kostariko evoluigis altkvajn kvantojn kaj altnivelajn nivelojn.,Costa Rica developed high literacy rates and education levels .,B1,False
Kostariko evoluigis altlernejajn nivelojn.,Costa Rica has developed high education levels .,B1,False
"Por igi ĝin ebla por ĉiuj ok lernantoj studi kiel 4 Formojn en la lernejo, la lerneja strukturo ŝanĝis la klasan strukturon.","In order to make it possible for all the Form 3 students to study as Form 4 in the school , the school changed the class structure .",B1,False
La sekvantaj artistoj pasigis la plej multajn semajnojn ĉe unu karto dum la 2000a .,The following artists spent the most weeks at number one on the chart during the 2000s .,B1,False
La sekvaj artistoj atingis kvar aŭ pli da nombro trafas dum la 2000 jaroj.,The following artists achieved four or more number-one hits during the 2000s .,B1,False
"Mi esperas, ke la pilko estus preta en majo.",Hopes that the ballet would be ready in May were dashed .,B1,False
"Mi esperas, ke la pilko estus preta en majo, la malferma nokto estis prokrastita kelkfoje.",Hopes that the ballet would be ready in May were dashed and the opening night was postponed several times .,B1,False
"En julio 2010, oni anoncis, ke elpelado komenciĝis dum sekundo.","In July 2010 , it was announced that casting had begun for a second season .",B1,False
La libreto ne ĉiam estas skribita antaŭ la muziko.,The libretto is not always written before the music .,B1,False
Shelela bombado estis ideo unue elprovita en la Dua Mondmilito.,Strategic bombing was an idea first tried in World War I .,B1,False
"Ĉar la bombado estis uzata en la Dua Mondmilito, kvankam ĝi ne estis komprenita en ĝia nuna formo.","Strategic bombing was used in World War I , though it was not understood in its present form .",B1,False
Tiu situacio preskaŭ okazis en 2004 .,This situation almost happened again in 2004 .,B1,False
Estas multaj malsamaj versioj de tiu kanto .,There are many different versions of this song .,B1,False
Estas multaj malsamaj versioj de la tekstoj al la kanto .,There are many different versions of the lyrics to the song .,B1,False
"La maro, karakterizita de severa klimato , estas frostita pli ol la plimulto de la jaro .","The sea , characterized by severe climate , is frozen over most of the year .",B1,False
"En 1600, raketoj estis uzataj en kelkaj partoj de Eŭropo .","By 1600 , rockets were being used in some parts of Europe .",B1,False
"La plena plenkreskulo estas ĉirkaŭ 1,8 longeco kaj 90.",A fully grown adult is about 1.8 m length and weighs 90 -.,B1,False
Plenkresumo estas proksimume 186 m longeco kaj 90 pezas - 120 kg .,An adult is about 1.8 m in length and weighs 90 - 120 kg .,B1,False
"Hodiaŭ, la loka ekonomio ĉefe butikumas kaj kraft, kun la plej granda labordonanto estante vestofaristo.","Today , the local economy is mostly shopping and handcraft , with the largest employer being a clothing maker .",B1,False
"Ekzistas pluraj manieroj sendi urĝajn informojn, por ke se iu ne laboras, la aliaj povus .","There should be multiple ways of sending emergency information so that if one does not work , the others might .",B1,False
"Estas pluraj rimedoj liveri urĝajn informojn, por ke se unu malsukcesos, aliaj povus trairi .","There should be multiple means of delivering emergency information so that if one fails , others may get through .",B1,False
Konsuma penso ne necesas por scii la rezultojn de la rezultoj por plenumi sian efikon.,Conscious thought is not necessary for knowledge of results to have its effect .,B1,False
Ĝi estis enlanda kvartalo de majo 2003 .,"It was made a municipal district on May 1 , 2003 .",B1,False
La filmado estis planita ĝis la lasta 138 tagoj .,Filming was scheduled to last 138 days .,B1,False
La filmo-plano intencis last8 tagojn sed kreskis al 160 .,The filming schedule was intended to last 138 days but grew to 160 .,B1,False
Seloj estis uzataj en tre fruaj civilizacioj.,Seals were used in very early civilizations .,B1,False
"Afrikaj elefantoj ricevas juran protekton en ĉiu lando, kie ili troviĝas.",African elephants receive some legal protection in every country where they are found .,B1,False
La unua sezono komencis aeradi la 1-an de novembro 2015 kaj finiĝis en junio 5 2016.,The first season began airing on November 1 2015 and ended on June 5 2016 .,B1,False
La unua sezono ĉefministro en 1 novembro 2015 kaj finiĝis en la kvina junio 2016 post 62 epizodoj.,The first season premiered on 1 November 2015 and ended on 5 June 2016 after 62 episodes .,B1,False
"satelito terminalo estas konstruaĵo, kiu ne aliĝis al aliaj flughavenoj.",A satellite terminal is a building that is not joined to other airport buildings .,B1,False
Tiu filmo havis ĉefe pozitivajn recenzojn.,This movie got mostly positive reviews .,B1,False
"Super liaj sekva naŭ luktoj, Rose havis rekordon pri ok venkas kaj unu perdo, per unu bato.","Over his next nine fights , Rose had a record of eight wins and one loss , with one knockout .",B1,False
La arma sekcio petis bankroton la 3an de julio 2006.,The table tennis section applied for bankruptcy on 3 July 2006 .,B1,False
La marohorse estas uzata kiel la kompania piktogramo .,A seahorse is used as the company 's icon .,B1,False
La marohorse estas uzata kiel la kompania piktogramo kaj la mondo estas protektita de kopirajta .,A seahorse is used as the company 's icon and is worldwide protected by copyright .,B1,False
"La plej maljunaj ankroj estis nur ŝtonoj, kaj multaj roko ankroj estis trovitaj de antaŭ longa tempo.","The oldest anchors were just rocks , and many rock anchors have been found from a long time ago .",B1,False
"En la 2001 Cenuss, la loĝantaro de la civila paroko estis 20,09 .","At the 2001 Census , the population of the civil parish was 20,309 .",B1,False
Moderna Japanio estas dividita en 47 guberniojn.,Modern Japan is divided into 47 prefectures .,B1,False
"En la malferma kaj meza, la reĝo malofte ludos aktivan rolon en la evoluo de ofenda aŭ defenda pozicio.","In the opening and middlegame , the king will rarely play an active role in the development of an offensive or defensive position .",B1,False
"Ankaŭ Malplenaj ujoj povas esti uzataj sur la tero por pikniko aŭ aliaj lokoj, kie homoj volas sidi ekstere sen siaj vestoj, nek malseka.",Blankets may also be used on the ground for a picnic or other places where people want to sit without their clothing getting dirty or wet .,B1,False
"5566 ne nur funkcias kiel grupo , sed ankaŭ individue.","5566 not only work together as a group , but also individually .",B1,False
La eksplodo mortigis almenaŭ 91 homojn kaj vundis 140 aliajn.,"The blast killed at least 91 people and injured 1,400 others .",B1,False
La idiomo ne estas unika por la angla .,The idiom is not unique to English .,B1,False
La idiomo ne estas unika angla .,The idiom is not uniquely English .,B1,False
La nuna turo estas la dua turo sur la retejo .,The current tower is the second tower on the site .,B1,False
La nuna turo estas la dua por okupi la lokon .,The current tower is the second to occupy the site .,B1,False
Multaj el la intervaloj estas en naciaj parkoj kaj aliaj protektataj zonoj .,Much of the range lies in national parks and other protected areas .,B1,False
"Kiel versio 1. 1. 0 , estas katoj por la ludanto kolekti .","As of version 1.13.0 , there are 66 cats for the player to collect .",B1,False
Laboro en la templo komenciĝis proksimume 1264E kaj daŭris proksimume 20 jarojn.,Work on the temples began about 1264 BC and lasted for about 20 years .,B1,False
"La konstruado de la templo komenciĝis en proksimume 1264 antaŭ proksimume 20 jaroj, ĝis 124E.","Construction of the temple complex started in approximately 1264 BC and lasted for about 20 years , until 1244 BC .",B1,False
Alvoku kaj respondo kanti estas kutimaj en moderna populara muziko.,Call and response singing is common in modern Western popular music .,B1,False
Telefonu kaj respondo estas kutimaj en la moderna populara muziko .,Call and response is common in modern Western popular music .,B1,False
Messiera 49 havas la radian elĵeton de normala galaksio.,Messier 49 has the radio emission of a normal galaxy .,B1,False
Dek du alumetoj estis plenumitaj ĉe la evento .,Twelve matches were performed at the event .,B1,False
Galaksioj estas la plej malgrandaj grupoj de galaksioj.,Galaxy groups are the smallest groups of galaxies .,B1,False
Dum majo estis 326 tornadoj konfirmis sin en Usono.,"During May , there were 326 tornadoes confirmed in the United States .",B1,False
"Estis 387 tornadoj raportis en Usono en majo, de kiu 322 estis konfirmita.","There were 370 tornadoes reported in the United States in May , of which 322 were confirmed .",B1,False
Multaj kulturoj havas kelkajn manĝaĵojn kaj kelkajn tabuojn .,Many cultures hold some food preferences and some food taboos .,B1,False
"En la plej multaj specioj, la inoj plej aŭ la tuta nesto konstruas ĝin, kvankam la virbesto ofte helpas .","In most species , the female does most or all of the nest construction , though the male often helps .",B1,False
tropika ondo forvagis la marbordon de Afriko je la 9a de aŭgusto.,A tropical wave moved off the coast of Africa on August 9 .,B1,False
"Ĉi tiu regiono havas varmegan, humidajn somerojn kaj mojosajn vintrojn.","This area has hot , humid summers and cool winters .",B1,False
La libro inkluzivas 36 mallongajn eseojn antaŭ ol antaŭvidi la sekvojn de tutmonda varmiĝo.,The book includes 36 short essays predicting the consequences of global warming .,B1,False
"Popina scienco estas ponto inter la literaturo verkita por sciencistoj, kaj la regno de populara skribo, kiun ordinaraj homoj uzas.","Popular science is a bridge between the literature written for scientists , and the realms of popular writing which ordinary people use .",B1,False
"La malsukceso de sistemo kutime dependas de la tempo, kaj la proporcio de la vivokampoj de la sistemo.","The failure rate of a system usually depends on time , with the rate varying over the life cycle of the system .",B1,False
Post du gravaj akcidentoj en 2002 kaj 2003 unu el la ĉefaj demandoj en sekureco estis ĉe la angulo 130R.,"Following two major accidents in 2002 and 2003 , one of the main issues in safety has been at the corner 130R .",B1,False
La butikcentro troviĝas en ambaŭ norda kaj suda flanko de la motorvojo.,The shopping mall is located on both the northern and the southern side of the E4 motorway .,B1,False
"Detektintoj projektis por modernaj plirapidigiloj estas grandegaj, kaj grandgrandaj kaj kosto.","Detectors designed for modern accelerators are huge , both in size and in cost .",B1,False
Detektintoj projektis por modernaj plirapidigiloj estas tre grandaj .,Detectors designed for modern accelerators are very big .,B1,False
"Kelkaj virinoj protestis, ĉar liaj desegnoj kovris siajn krurojn , kiujn ili ne faris dum milito.","Some women protested , because his designs covered up their legs , which they did not during wartime .",B1,False
"Malgraŭ tio, kelkaj recenzoj kritikis la ludon.","Despite it 's positive reviews , some reviewers criticized the game .",B1,False
Kelkaj recenzistoj estis kritikaj cele al iuj aspektoj de la ludo.,Some reviewers were critical towards certain aspects of the game .,B1,False
Krom la servo sklavo postulis pagi kelkajn impostojn kaj pagojn.,"In addition to service , a serf was required to pay certain taxes and fees .",B1,False
Miloj da lernejaj infanoj mortis pro grave konstruita lernejoj.,Thousands of school children died because of badly built schools .,B1,False
Ĝi estas konata pro la invito de la ĝangalo kiel karakterizaj karakterizaĵoj.,It is known for its inviting jungle gym-like characteristics .,B1,False
En 1873 miaj labordonantoj provis enkonduki sabaton posttagmeze kaj dimanĉojn .,In 1873 mine employers attempted to introduce Saturday afternoon and Sunday shifts .,B1,False
En 1873 miaj posedantoj provis veni en sabato kaj dimanĉe labori .,In 1873 mine owners tried to bring in Saturday afternoon and Sunday work .,B1,False
Ĉina roko atingis pinton de kreemo kaj populareco inter 1990 kaj 1993.,Chinese rock reached a peak of creativity and popularity between 1990 and 1993 .,B1,False
La franca estas parolata de preskaŭ la tuta loĝantaro.,French is spoken by almost all the population .,B1,False
La loĝantaro preskaŭ tute parolas france.,The population is almost entirely French-speaking .,B1,False
"La opero ne estis sukceso, kaj spektantaro trovis la rakonton konfuza.","The opera was not a success , and audiences found the story confusing .",B1,False
La katedralo estis konstruita sur la loko de Maja ruinojn de Tho.,The cathedral was built on the site of Mayan ruins T'ho .,B1,False
La katedralo estis konstruita sur la loko de Maja ruinoj Tiho.,The cathedral was built on the site of Mayan ruins Tiho .,B1,False
"Plej multaj kantoj en tiu ĉi albumo estas glataj, iom rapideco.","Mostly songs in this album are smooth , some speed .",B1,False
Verdoj estas verdaj aŭ flavaj kun nigraj makuloj.,Green toads are green or yellow with black spots .,B1,False
"Verdaj verdaĵoj kutime helas je verda koloro , kun nigra loko.","Green toads are typically bright to pale green in color , with black spotting .",B1,False
Plurludisto povas ludi per kvar ludantoj.,Multiplayer can be played with up to four players .,B1,False
La kanto ricevis polusajn recenzojn de muzikaj kritikistoj.,The song received polarizing reviews from music critics .,B1,False
Cyberistoj havas nombron da malfortecoj dum la jaroj .,Cybermen have a number of weaknesses over the years .,B1,False
La Cyberistoj havis numeron de malfortecoj ekde ilia enkonduko.,The Cybermen have had a number of weaknesses since their introduction .,B1,False
"Instrucs la servilo por redoni informojn pri la administrantoj de la servilo donita de , kie estas servilo aŭ uzanto .","Instructs the server to return information about the administrators of the server specified by , where is either a server or a user .",B1,False
"La unua eldono kovras 45 objektojn, kiuj kalkulis M1 al M45 .",The first edition covered 45 objects numbered M1 to M45 .,B1,False
La unua eldono de 1771 kovrita de 45 objektoj kalkulis Mi1 al M45 .,The first edition of 1771 covered 45 objects numbered M1 to M45 .,B1,False
"Fiŝo estas en danĝero manĝita, se ili estas forigitaj el la lernejo.",Fish are in danger of being eaten if they are separated from the school .,B1,False
"Li mortis pro pneŭmonio kaj kora malsukceso je la sepa de januaro 2018, maljuna 61 .","He died of pneumonia and heart failure on 7 January 2018 , aged 61 .",B1,False
La tuta nombro de tiuj infektoj kun kelkaj landoj en Afriko kaj Azio.,The total number of people with this infection is higher in some countries in Africa and Asia .,B1,False
"Li malsupreniris la ŝtuparon al la unua etaĝovendejo, kiu havis ĉirkaŭ cent homojn en ĝi.",He went down the stairs to the first floor cafeteria which had around a hundred people in it .,B1,False
"apud la ora lunĉejo, en kiu ĉirkaŭ cent homoj estis kolektitaj.","He next went down to the first-floor cafeteria , in which about a hundred people were gathered .",B1,False
BASA saltas kreskis el la ĉielovingado.,BASE jumping grew out of skydiving .,B1,False
La ideo por BAS saltas de ĉieladivingo.,The idea for BASE jumping came from skydiving .,B1,False
Ĉokola siropo ankaŭ estas uzata por pli altaj pudingoj kaj kukoj.,Chocolate syrup is also used to top puddings and cakes .,B1,False
Ĉokola sipo ankaŭ estas uzata en multaj desertoj.,Chocolate syrup is also used in many desserts .,B1,False
"Ĉi tiu estas la plej malgranda regiono en Italio kun areo de 3260.9 km2, kaj loĝantaro de ĉirkaŭ 126,83.","This is the smallest region in Italy with an area of 3260.9 km2 , and a population of about 126,883 .",B1,False
"La iPhone 5C uzas la plej grandan el la sama aparato kiel la iPhone 5 , kun kelkaj neplenaĝulaj ŝanĝoj.","The iPhone 5C uses most of the same hardware as the iPhone 5 , with some minor changes .",B1,False
La iPhone 5C havas preskaŭ la saman aparataron kiel la iPhone 5 .,The iPhone 5C has almost the same hardware as the iPhone 5 .,B1,False
La ludo estis malbone ricevita de kritikistoj kaj ludo similaj.,The game was poorly received by critics and gamers alike .,B1,False
La ludo akceptis miksitajn recenzojn de kritikistoj kaj ludistoj egalaj.,The game received mixed reviews by critics and gamers alike .,B1,False
"En 2018, la muzeo ricevis 2,2863 vizitantojn , farante ĝin plej populara vizitanto en tiu jaro .","In 2018 , the museum received 2,227,773 visitors , making it Scotland 's most popular visitor attraction that year .",B1,False
Kelkaj fiŝoj ŝanĝiĝas sekson tra la kurso de sia vivo.,Some fish change sex over the course of their life .,B1,False
Ŝia kariero komenciĝis en 1950 kaj pluiris ĉi-tage.,Her career started in 1950 and continues to this day .,B1,False
Inataj arboj portas siajn fruktojn nur kelkajn jarojn.,Female trees bear their fruit only every few years .,B1,False
"Varma ĉokolado povas esti farita kun malhelaj, duonpluksoj, aŭ amaraj ĉokoladaj ĉokoladoj.","Hot chocolate can be made with dark , semisweet , or bittersweet chocolate .",B1,False
"Finigajn verkojn oni povas studi laŭ la speco de pecoj, kiuj restas en la tabulo.",Endgames can be studied according to the types of pieces that remain on board .,B1,False
"La komunumo havas areon de 1466. 7 km kaj la urbo ĝusta, 16.16 slips .","The commune has an area of 1466.7 sqkm and the city proper , 16.16 sqkm .",B1,False
En militado la longatempa celo estas la malvenko de la malamiko.,"In warfare , the long-term objective is the defeat of the enemy .",B1,False
La monda loĝantaro malpliiĝos de proksimume 2040 .,World population will decline from about 2040 .,B1,False
La loĝantaro malpliiĝos de proksimume la 2040a .,The population will decline from about the 2040th .,B1,False
"Tiaĵoj estas aktivaj, bruaj kaj sociaj birdoj .","Tits are active , noisy , and social birds .",B1,False
"La mamoj estas aktivaj, bruaj, sociaj birdoj.","The tits are active , noisy , social birds .",B1,False
La frazo estas uzata kun vaste kreskantaj kuntekstoj .,The phrase is used in widely varying contexts .,B1,False
La strukturo de maue ne estis plene identigita ĝis 1994.,The structure of mauveine was not fully identified until 1994 .,B1,False
Alia unika akvoklo estas glitkurita.,Another unique waterpark feature is ice skating .,B1,False
Pallen oni vidas plej facile sur la vizaĝo kaj manplatoj.,Pallor is seen most easily on the face and palms .,B1,False
Hispanaj landoj uzas multajn malsamajn nomojn por la variaĵoj kaj preparoj.,Spanish -speaking countries use many different names for the varieties and preparations .,B1,False
"La nomo uzata ĝenerale referencas al la speco de militgrupo, kiu uzas la bazon .",The name used generally refers to the type of military that uses the base .,B1,False
"La nomo ĝenerale referencas al la speco de militaj aktivecoj, kiuj okazas en la bazo de la bazo .",The name used generally refers to the type of military activity that takes place at the base .,B1,False
Multaj elektronikaj paperaj teknologioj enhavas statikan tekston kaj bildojn senĉese sen elektro.,Many electronic paper technologies hold static text and images indefinitely without electricity .,B1,False
La kanto ricevis ĉefe negativajn recenzojn de kritikistoj.,The song received mainly negative reviews from critics .,B1,False
"Komence la ludo komenciĝas, la ludanto rajtas krei a uzantobildon.","Upon starting the game for the first time , the player is allowed to create an avatar .",B1,False
"En ambaŭ respektoj, malgranda estis atingita ĉi-tage.","In both respects , little was achieved this day .",B1,False
Ĉi-tage oni plenumis malmulton.,Little was achieved this day .,B1,False
"Je la dudeka jarcento, moderna librobinis materialojn pro la damaĝoj faritaj de libroj laŭ libro -borantaj insektoj.","By the twentieth century , modern bookbinding materials prevented much of the damage done to books by book -boring insects .",B1,False
Financaj matematikoj estas la studo de matematiko por financaj merkatoj.,Financial maths is the study of maths for financial markets .,B1,False
Pluraj faktoroj povas fini subtenon por infano sub aĝo de plimulto.,Several factors can end a support order for a child under the age of majority .,B1,False
"En hotelo en Parizo oni trovis mavoluitan kanceron, kaj oni trovis mortan en la jaro 15862 en hotelo.","Genet developed throat cancer and was found dead on 15 April 1986 , in a hotel room in Paris .",B1,False
Praevolue evoluigis gorĝon kaj mortis en la 15a de aprilo 1986 en Parizo.,Genet developed throat cancer and died on 15 April 1986 in Paris .,B1,False
Multe de la fervoja kanto kaj ruliĝanta stoko bezonas riparon aŭ anstataŭigon.,Much of the railway track and rolling stock is in need of repair or replacement .,B1,False
Cousner sidis por Reyns 21 oble kaj lia ĉevalo 8foje inter februaro kaj aprilo 16 .,Coussmaker sat for Reynolds 21 times and his horse 8 times between February 9 and April 16 .,B1,False
"En la 40-aj jaroj AD , la politika situacio en Britio estis verŝajne en iu kaoso .","By the 40s AD , the political situation in Britain was apparently in some chaos .",B1,False
"La ostoj estis tre mallongaj homoj, nur super kvar piedoj alta.","The bones were those of a very short man , just over four feet tall .",B1,False
"Ĉiu ekzemple uzas 6 16 - iomete subsklavojn, dum la duono signifas 4 , tuta 52 por 8. 8.","Each round uses 6 16 - bit sub-keys , while the half- round uses 4 , a total of 52 for 8.5 rounds .",B1,False
La uzo de amaskomunikiloj-programoj por identigantoj estas rekomenditaj de multaj organizaĵoj kaj programaraj projektoj .,The use of medial caps for identifiers is recommended by many organizations and software projects .,B1,False
Infanoj inter la aĝoj de 6 kaj 16 devas havi plenan tempan edukadon.,Children between the ages of 6 and 16 must have full-time education .,B1,False
Infanoj inter la aĝoj de 6 kaj 16 estas postulataj de juro por havi plentempan edukadon.,Children between the ages of 6 and 16 are required by law to have full-time education .,B1,False
"Partoj de la strato estas ofte fermataj por eventoj, tiaj kiel tutjara festo .","Parts of the street are often closed for events , such as an yearly street party .",B1,False
Sekcioj de la strato estas ofte fermataj por aliaj eventoj kiel jara stratfestivalo.,"Sections of the street are often closed for other events , such as an annual street festival .",B1,False
Koloraĵoj ekestas spurante la historion de la estraro .,Difficulties arise in tracing the history of design management .,B1,False
Estas malfacile precize esplori la historion de projektado.,It is difficult to exactly trace the history of design management .,B1,False
Oni povas ankaŭ ludi dum mardoj aŭ merkredoj anstataŭ la regula ĵaŭdoj pro konfliktoj.,Matches may also be played on Tuesdays or Wednesdays instead of the regular Thursdays due to scheduling conflicts .,B1,False
Tiu tablo donas resumon de la diferencoj inter la diversaj horaroj.,This table gives a summary of the differences between the different Schedules .,B1,False
"Noun, name of the user action",Interest in the machine grew across Europe .,B1,False
"Laŭ la vorto de ĝia seddo, la maŝino kreskis tra Eŭropo.","Following word of its debut , interest in the machine grew across Europe .",B1,False
"La Naciaj Parkanoj skribis por registri, kion naciaj parkoj estas por , kaj kiel ili estus elektitaj kaj zorgu pri .","The National Parks Act of 1980 was written to record what national parks are for , and how they would be chosen and looked after .",B1,False
Kelkfoje skriboj estis atribuitaj por festi aŭtorojn sed ne estis skribitaj de ili .,"Occasionally in ancient times , writings were attributed to celebrated authors but were not written by them .",B1,False
Multaj romanoj de granda longo ne havas ĉapitrojn.,Many novels of great length do not have chapters .,B1,False
Multaj romanoj de granda longeco havas ĉapitrojn.,Many novels of great length have chapters .,B1,False
"La romianoj adoptis la grekan tradicion , fariĝi la unua homo, skribi historion en ne-Gekero lingvo .","The Romans adopted the Greek tradition , becoming the first people to write history in a non-Greek language .",B1,False
Nigraj lumcentraj motoroj estas nur faritaj per malgrandaj grandecoj .,Black powder rocket motors are only made in small sizes .,B1,False
"Produktado komenciĝis en novembro 1999 kaj estis kompletigita en majo 2000 , kun buĝeto de 52 milionoj .","Production began in November 1999 and was completed in May 2000 , with a budget of $ 52.5 million .",B1,False
"Produktado en la filmo komenciĝis en novembro 1999 kaj estis finita en 2000 , kun buĝeto el nur 50 milionoj da dolaroj.","Production on the movie began in November 1999 and was finished in May 2000 , with a budget of just over $ 50 million .",B1,False
Purigaj salikokoj estas ofte inkluzivitaj en sala akvobruzo por konservi la tinon pura.,Cleaner shrimp are often included in salt water aquaria to keep the tank clean .,B1,False
La 150-jara datreveno estis festita en 2003 .,The 150th anniversary was celebrated in 2003 .,B1,False
La violono estas ludata aŭ sidanta aŭ staranta sur ĝi.,The violin is played either seated or standing up .,B1,False
La violonon oni povas ludi aŭ stari aŭ sidi.,The violin can be played either standing or sitting down .,B1,False
Sendependeco estas alia bona afero pri malgranda afero.,Independence is another good thing about owning a small business .,B1,False
Sendependeco estas alia avantaĝo de malgranda afero.,Independence is another advantage of owning a small business .,B1,False
"Kiam milito denove komenciĝis en 1282 , ĝi estis tute malsama .","When war broke out again in 1282 , it was entirely different .",B1,False
"La vojaĝo estis rapida, sed la nombro de homoj mortantaj estis la plej alta en la historio de transporto al Aŭstralio .","The trip was fast , but the rate of people dying was the highest in the history of transportation to Australia .",B1,False
"Sur malriĉa, seka grundoj estas tropikaj litlandoj.","On poor , dry soils there are tropical heathlands .",B1,False
"Alia danĝero estas, ke la plej multaj aASASE havas tre malgrandajn zonojn, en kiuj estas en la lando .",Another danger is that most BASE jumpers have very small areas in which to land .,B1,False
"Granda ĉampiono, kiu ne portas la ĉielarkon ĵerĉeloj povas esti punitaj 2500 ĝis 5500 franko.",A champion who does not wear the rainbow jersey can be fined 2500 to 5000 Swiss francs .,B1,False
"Ne eblas porti la ĉielarkon, kie necesas monpunon de 2500 ĝis 5500 franko.",Failure to wear the rainbow jersey where required carries a penalty of 2500 to 5000 Swiss francs .,B1,False
Kanado konsistas el dek landoj kaj tri teritorioj .,Canada is made up of ten provinces and three territories .,B1,False
Kanado estas knesio konsistas el dek landoj kaj tri teritorioj.,Canada is a federation composed of ten provinces and three territories .,B1,False
La venontaj kelkaj jardekoj estis el rapida kresko kaj plivastigitaj en la teritorioj regata de la britoj.,The next few decades were of rapid growth and expansion in the territories controlled by the British .,B1,False
La venontaj kelkaj jardekoj da rapida kresko kaj plivastiĝis en la teritorioj per la angla .,The next few decades were of rapid growth and expansion in the territories controlled by the English .,B1,False
"Ĉar ĝi rompas la haŭton, tatuaĵo portas sanaĵojn.","Because it breaks the skin , tattooing carries health risks .",B1,False
"Ĉar ĝi postulas rompi la haŭton de la haŭto, tatui sanaĵoj inkluzive de infektoj kaj alergiaj reagoj .","Because it requires breaking the skin barrier , tattooing carries health risks including infection and allergic reactions .",B1,False
Maria unue estis pioniro kaj patrino.,Maria first was a pioneering housewife and mother .,B1,False
"Se ni prenas plian specimenon de 25 tasoj, ni facile povus trovi valorojn kiel 250 aŭ 251. 1 gramoj.","If we take another sample of 25 cups , we could easily expect to find mean values like 250.4 or 251.1 grams .",B1,False
