esperanto,english,cefr_level
"La faldono en lia nove gladanta pantalono estis akra kiel razilo ""ŝeto.""",The crease in his newly ironed pants was as sharp as a razor 's edge .,B2
"Nenio, kion vi faras aŭ diras, ĉesos ĉesigi Sally de la kurado de ŝia revo fariĝi bestokuracisto.",Nothing you do or say will ever stop Sally from chasing her dream of becoming a veterinarian .,B2
"""Taŝa kostumo estis preskaŭ identa al tiu de Tasha.""",Amanda 's costume was almost identical to that of Tasha's .,B2
Kelkfoje homoj iĝas neraciaj kiam ili estas emociaj .,Sometimes people become irrational when they are emotional .,B2
"Post la disfalo de vojoj en Kobe post la tertremo, normoj ŝanĝiĝis por novaj vojoj, kiuj estis konstruitaj .","Following the collapse of highways in Kobe after the earthquake , standards changed for new roads that were built .",B2
Helpantoj helpos vin liberiĝi de tiu kapdoloro.,Pain relievers will help you to get rid of that headache .,B2
Nur uzo de kvalifikitaj elektristoj.,Only use qualified electricians .,B2
"Vi povus plibonigi viajn biologion, se vi studas pli ofte.",You might improve your biology grades if you study more frequently .,B2
"Mi evitas vidi miajn amikojn el la mezlernejo, ĉar ili estas nematuraj.",I avoid seeing my friends from high school because they are immature .,B2
La biciklo subite haltis en la strato.,The bike suddenly pulled out into the road .,B2
"Por tiuj mono por investi , akcioj estas unu opcio.","For those with money to invest , stocks are one option .",B2
"""Nekutime vidi ĉefserviston nuntempe.",It 's unusual to see a butler nowadays .,B2
La handikapuloj estis celataj al regulaj klasoj.,The handicapped boys were mainstreamed into regular classes .,B2
"Li forestis dum preskaŭ unu jaro, sed ŝi daŭre kaŝis siajn vestaĵojn pendantaj en la ŝranko.","He 'd been gone for nearly a year , but she still kept his clothes hanging neatly in the closet .",B2
pastro faras religiajn devojn.,A priest performs religious duties .,B2
La ligitano tenas la hundon forkuri.,The leash keeps the dog from running away .,B2
"La viro, sidanta trans la ĉambro, ŝajnis strange konata.",The man sitting across the room looked oddly familiar .,B2
La juĝisto mendis ordon en la juĝejo post la impulso.,The judge called for order in the courtroom after the outburst .,B2
"Tio, kion mi diris, estas, ke mi ne kredis je ĉiuj trompoj pri la tutmonda varmiĝo, ne ke mi ne kredis je klimatŝanĝiĝo .","What I said was that I did n't believe in all the hype about global warming , not that I did n't believe in climate change .",B2
Crimorson estas kombino de ruĝa kaj purpura .,Crimson is a combination of red and purple .,B2
"Skribi tion, kion mi manĝas, el kio mi manĝas la plezuron el manĝado.",Writing down what I eat takes the pleasure out of eating .,B2
Stranga odoro eliris el la apartamento supre.,A strange odor was coming out of the apartment upstairs .,B2
John brelis siajn ŝafojn.,John was herding his sheep .,B2
Saturno estas planedita planedo.,Saturn is a ringed planet .,B2
"Cindy tenas sian hararon blonda, ĉar ŝi kundividas Marinly Monroe Monroe Monroe Monroe, ĉar ŝi estis knabino.",Cindy keeps her hair blond because she 's idolized Marilyn Monroe since she was a girl .,B2
"Tiuj homoj, kiujn vi kontraŭas, estas tre potencaj.",These people whom you oppose are very powerful .,B2
"Mi ne kredas, ke mi kuntreniĝis al blinda rendevuo.",I ca n't believe I got dragged along on a blind date .,B2
"La sorĉisto, kiun li perdis, estis lia diofather.",The wizard whom he lost was his godfather .,B2
Ŝi havas kaŝeblan BMW.,She has a convertible BMW .,B2
La virinoj remis same diligente kiel la viroj.,The women were rowing as hard as the men .,B2
Ili devus pafi tiun teruran libroteniston.,They should fire that awful accountant .,B2
"Tio, kion ni vere devas fari, estas eltrovi la prioritatojn unue.",What we really need to do is to figure out the priorities first .,B2
Lia plej ŝatata karisto estas Gary Larsen .,His favorite cartoonist is Gary Larsen .,B2
Mi ĝojas provizi vin kun pli da informoj pri la blua pri la nova infrastrukturo.,I 'm happy to provide you with more information on the blueprint for the new infrastructure .,B2
"Li trovis tion, kion li kredis oro, sed ĝi estis nur piĵamo.",He found what he believed was gold but was only pyrite .,B2
"Iu ajn, kiu provas naĝi la anglan kanalon trovos la akvon tre malvarma kaj tre distranĉi ĝin.",Anyone who tries to swim the English channel will find the water very cold and quite choppy .,B2
"Ni eltrovu, kion fari pri la povo ĝis la kreilo estas fiksita.",We have to figure out what to do about the power until the generator is fixed .,B2
Pensi pri la neeblaĵo daŭre vin emociigos.,Thinking about the impossible will keep you agitated .,B2
"Kaj la virino, kiun oni asertis, ke mankas la filino de la caro, estis pruvo, ke oni trompos lin.",The woman whom some claimed to be the missing daughter of the Czar was proved to be a fraud .,B2
La subita brilega suno en decembro faris la glacion sur la lageto al la okulo.,The sudden bright sun in December made the ice on the pond dazzling to the eye .,B2
"Estas agrable, ke Mark estu tiel dankema.",It 's nice of Mark to be so appreciative .,B2
Li metas Jamajan kamoĉon sur sian viandon.,He puts Jamaican jerk on his meat .,B2
"Li diris al mi, ke mi povos ricevi kromajn kreditojn en la universitato, se mi prenis somerajn lecionojn, sed mi ne volis resti en Usono dum la someraj ferioj.",He told me I could get extra credits in college if I took summer classes but I did n't want to stay in the States during summer vacation .,B2
"Mia avo ne havas dentojn, do li surhavas protezajn dentojn.","My grandfather has no teeth , so he wears dentures .",B2
"Se vi antaŭe kontaktas vian profesoron, vi eble povos atingi finaĵon sur via papero.","If you contact your professor beforehand , you might be able to get an extension on your paper .",B2
"Helen neniam piediras malfrue nokte, ĉar ŝia amiko estis prirabita.",Helen never walks late at night ever since her friend was robbed .,B2
"La bebo, kies pulmoj estis subtenataj dum kelkaj semajnoj en la malsanulejo.",The baby whose lungs were underdeveloped spent several weeks in the hospital .,B2
Jamiie vere ŝatis Felician 'shelna bluzo.,Jamie really liked Felicia 's floral blouse .,B2
Tiu privata afero neniel koncernas vin.,This private matter was nothing to concern yourselves with .,B2
"Kvankam Ian aĝas nur 10 jarojn, lia verko estas tiel eleganta kaj unika, ke ĝi estas preskaŭ pli bona ol tiu de profesiaj artistoj.","Although Ian is only 10 years old , his artwork is so refined and unique that it is almost better than that of professional artists .",B2
"Mi rigardis la profesoron, dum ŝi urĝe serĉis niajn ekzamenojn.",I watched the professor while she frantically looking for our exams .,B2
"Devas esti reekminigo, se la plimulto de la studentoj gajnis malpli ol 40% en la testo .",There must be a reexamination if the majority of the students scored less than 40 % on the test .,B2
"La aktoroj, kiujn la gazetaroj ofte pagas al alta prezo por ilia famo.",The actors whom the press often hounds are paying a high price for their fame .,B2
Ĉiu bona kuiristo scias kiel kombini gustojn por krei bongustajn manĝojn.,Every good cook knows how to combine flavors to create delicious meals .,B2
"Homoj, kies vivoj estis ŝanĝitaj de la cunamo, estis intervjuataj de NHK.",People whose lives were changed by the tsunami were interviewed by NHK .,B2
"Nenio kreskis en nia ĝardeno, ĉar ni disvastigas tre fortan armortigilon.",Nothing has grown in our garden since we spread very powerful pesticide .,B2
"Richard sentis kvazaŭ li ĝenis Jes ĉiujn atenton, kiujn li donis al ŝi.",Richard felt like he was annoying Jess with all the attention he was giving her .,B2
"Mia amiko opiniis, ke ŝia eseo estas tiel maljusta, ke ŝi iris intertrakti por pli bona klaso.",My friend thought her essay was graded so unfairly that she went to negotiate for a better grade .,B2
Mi senpaciencas en intensa trafiko.,I am impatient in heavy traffic .,B2
"Plejparto de tio, kion mi lernis en algebro, mi neniam uzis ĝin.",Most of what I learned in algebra I never used .,B2
"Ben ne interesiĝas pri farado de aferoj kun ni, do ni devas ĉesi ĝeni lin.",Ben is not interested in doing business with us so we must stop pestering him .,B2
La viro estas tro agresema kaj danĝera por interagi kun .,The man is too aggressive and dangerous to interact with .,B2
Ĉi tiu nazo malsanigas min.,This runny nose is making me miserable .,B2
"Ŝi ne kapablis komuniki al iu ajn en la konferenco, ĉar ŝi ne povis paroli la anglan.",She was n't able to communicate to anyone at the conference because she could n't speak any English .,B2
"Virino, kies ŝatokupo estas danci, povus havi profiton vivi, se ŝi ne estas tre lerta.",A woman whose pastime is dance might have trouble earning a living unless she is very skilled .,B2
"La studentoj prenis la lifton al la kelo, kie la profesoro faris ĉiujn siajn eksperimentojn.","The students took the elevator to the basement , where the professor conducted all of his experiments .",B2
"Bedaŭrinde, ŝi estas patraj reguloj, kies reguloj devas esti aplikitaj per kulpo kaj manipulado anstataŭ racio kaj fido.","Unfortunately , she is a parent whose rules must be enforced through guilt and manipulation instead of reason and trust .",B2
Tenu viajn nazotruojn fermitaj antaŭ ol vi plonĝis en .,Hold your nostrils closed before you dive in .,B2
"Ĉu estas multaj kompanioj, kiuj ne plu faras bestan teston nuntempe?",Are there a lot more companies not doing animal testing these days ?,B2
Mia renovigita aplikaĵo estis rifuzita.,My renewed application was denied .,B2
Viktorio estis tre bona je ŝanĝo de Billys vindo.,Victoria was very good at changing Billy 's diaper .,B2
La sovaĝaj ĉevaloj venis el la ŝipo.,The wild horses came from ship wrecks .,B2
Ili vetkuris siajn motorciklojn tra danĝera kruciĝo.,They raced their motorcycles through a dangerous intersection .,B2
"Bonvolu kolekti ĉion ĉi, kio estas disigata sur la tuta planko.",Please pick up all these things that are scattered all over the floor .,B2
"Homoj, kies voĉoj estas profundaj kaj malsanaj ofte ricevas radion kaj filmon labori.",People whose voices are deep and sonorous often get radio and movie voice work .,B2
"Ŝi koleregiĝos, se ŝi malkovros tion.",She 'll be furious if she finds out .,B2
S-ino Walter staris kun siaj manoj sur siaj koksoj kaj severa rigardo sur ŝia vizaĝo.,Mrs. Walters stood with her hands on her hips and a stern look on her face .,B2
"Lia horloĝo estis rompita; li ne devis juĝi, ĉu li povus alveni ĝustatempe.",His watch was broken ; he had no way to judge if he could arrive on time .,B2
Ĉiu vendejo en Japanio ŝajnis havi mirindan lumon kaj ornamaĵojn.,Every store in Japan seemed to have wonderful lighting and decorations .,B2
Tri rusaj diplomatoj estis forpelitaj el Usono.,Three Russian diplomats were expelled from the U.S.,B2
Homoj demandas pri siaj mankantaj amatoj aspektis tiel malesperaj.,People asking about their missing loved ones looked so desperate .,B2
Ŝi igis sian stomakon perdi pezon.,She had her stomach stapled to lose weight .,B2
"Se mi estus inĝeniero, mi serĉus ĥemian pli sekuran akvon ol uzi por gemalcenta energio.","If I were an engineer , I would look for a chemical safer than water to use for geothermal energy production .",B2
"Vi faru tion malfrunokte, por ke vi ne malriĉu homojn.",You should do that late at night so you do n't irritate people .,B2
Peter 's vestludo igis lin aspekti eleganta .,Peter 's vest made him look elegant .,B2
Japanio devas esti tre forta nacio por fariĝi pli forta ekonomia forto en tiel malmultaj jaroj.,Japan must be a very strong nation to have become a leading economic force in so few years .,B2
"Multaj opoziciaj grupoj kontraŭ Hitler ""Alogio dum jardekoj .""",There have been many opposition groups against Hitler 's ideology for decades now .,B2
Sally ŝatas skui sian denton por igi la infanojn ridi.,Sally likes to wiggle her loose tooth to make the younger children laugh .,B2
"Titano estas ĝenerale trovita en la tero ""srust .""",Titanium is commonly found in the earth 's crust .,B2
"Mi provis fari miajn hejmtaskojn, sed estis distrita de mia najbaro per laŭta televido.",I tried to do my homework but was distracted by my neighbor 's loud television .,B2
Mia pli aĝa frato stiras re rekonstruitan aŭton.,My older brother drives a rebuilt car .,B2
"Ili kapablis spuri la astronaŭtojn kaj rapide atingi la areon, kie ili surteriĝis.",They were able to track the astronauts ' return and quickly get to the area where they landed .,B2
"Unu el la unuaj kaj plej famaj bibliotekoj estis konstruita en Aleksandrio, Egiptujo ĉirkaŭ la tempo de Plem.","One of the first and most famous libraries was built in Alexandria , Egypt around the time of Ptolemy .",C1
"Kvankam mi havis tritagan semajnfinon, mi ne multe sukcesis, ĉar mi prokrastas la plejmulton de la tempo .","Although I had a three day weekend , I did n't get much done because I procrastinated most of the time .",C1
"Obokakata Esploro estas pridemandata, ekde kiam aliaj esploristoj ne kapablis duobligi ŝian metodon por kreo de SAP-ĉeloj .",Obokata 's research has been questioned since other researchers were unable to duplicate her method for creating STAP cells .,C1
"Ĉu vi opinias, ke Carl estos la servisto de la klaso 2017?",Do you think that Carl will be the valedictorian of the class of 2017 ?,C1
Ekzistas pli ol unu maniero fari la ansasan .,There is more than one way to make a great lasagna .,C1
Ĉu vi bezonas ion por manĝi?,Do you need something to eat ?,A1
Mi havas du fiŝojn en bovlo.,I have two fish in a bowl .,A1
Ŝi volis la grizan mantelon.,She wanted the grey coat .,A1
Mi sendis mian koramikinon ruĝaj rozoj.,I sent my girlfriend red roses .,A1
Ŝi bezonas uzi vian telefonon .,She needs to use your phone .,A1
Ĉu vi havas aŭton?,Do you have a car ?,A1
Foje mi dormas ĝis tagmezo.,Sometimes I sleep until noon .,A1
Simio grimpis sur miajn ŝultrojn.,A monkey climbed on my shoulders .,A1
"""Estas la 10a horo.",It 's 10 p. m.,A1
Mia avino estas sciencisto.,My grandmother is a scientist .,A1
Kiel mi atingas la flughavenon?,How do I get to the airport ?,A1
Li ne trovas sian.,He ca n't find his .,A1
Ni veturis per metroo.,We went by metro .,A1
Ni havas tiom da bonaj aferoj por vespermanĝi.,We have so many good things to eat for dinner .,A1
Vi devus resti kun via fratino .,You should stay with your sister .,A1
Ĉu mi rajtas aliĝi al vi?,May I join you ?,A1
Ĉu li havas edzinon?,Does he have a wife ?,A1
Li farbis la domon apud nia.,He painted the house next to ours .,A1
Barack Obama estis granda prezidanto .,Barack Obama was a great president .,A1
"Roy ne ŝatis sian koramikinon "" manĝojn .",Roy did n't like his girlfriend 's meals .,A1
Estos tre koleraj homoj.,There will be very angry people .,A1
Ĉu mi iru nun?,Shall I go now ?,A1
Skiado estas vintra sporto.,Skiing is a winter sport .,A1
Li ĵetis al ŝi belan rigardon.,He gave her a loving look .,A1
Mi volas dormi.,I want to sleep .,A1
Ĉu vi perdis la vian?,Did you lose yours ?,A1
Multaj sportoj havas celon.,Lots of sports have a goalie .,A1
Foxoj ofte vivas en arbaroj.,Foxes often live in forests .,A1
Neniu alportis trinkaĵojn.,No one brought drinks .,A1
Mi ŝatas vian fratinon .,I like your sister .,A1
Ŝi eble foriros frue.,She may leave early .,A1
Kion vi volas fari venontjare?,What do you want to do next year ?,A1
Usonanoj ŝatas manĝi bovaĵon.,Americans love eating beef .,A1
Mia onklino kaj mia patrino estas bonaj amikoj .,My aunt and my mother are good friends .,A1
"""Ni iru al Havajo en januaro.",Let 's go to Hawaii in January .,A2
Mi provas trovi la posedanton de tiu kato --- estas via?,I am trying to find the owner of this cat --- it is yours ?,A2
Multaj skiistoj veturas al Niigata.,A lot of skiers go to Niigata .,A2
Mi ne havas preferatan aktorinon.,I do n't have a favorite actress .,A2
Tiuj plantoj bezonas kelkan sunbrilon.,These plants need some sunshine .,A2
Roberta kaj mi bakis torton el fruktoj.,Roberta and I baked a pie made from fruit .,A2
Ĉu nun ne estas domoj aĉeteblaj?,Are there no houses for sale right now ?,A2
La britoj venas!,The British are coming !,A2
Donu al mi minuton.,Give me a minute .,A2
Mi estos tie post ĉirkaŭ dudek minutoj.,I 'll be there in about twenty minutes .,A2
"Jen la areo, kie la komputilo estis .",Here is the area where the computer was .,A2
La BBQ estis nekompleta sen kolbasoj.,The BBQ was incomplete without sausages .,A2
Ĉu ĝi estas bone konstruita?,Is it well built ?,A2
Ĉu viaj manoj estas malvarmaj?,Are your hands cold ?,A2
Mi sidis antaŭ tiu komputilo dum tro da horoj.,I 've been sitting in front of this computer for too many hours .,A2
Se mi nur vidintus la lumon!,If only I had seen the light !,A2
La usonanoj trejnas la militan armeon de Irako.,The Americans are training the Iraqi military .,A2
Perfundaj arboj produktas kubiligitan nukson.,Cashew trees produce cashew nuts .,A2
Li eble deziras pli bonan salajron.,He may want a better salary .,A2
"Mi ne scias, kion fari pri tiu problemo.",I do n't know what to do about this problem .,A2
"Oni diris al mi, ke mi estas tre diligenta laboristo.",I was told that I was a very hard worker .,A2
Tio estos bela kun via nigra pantalono.,This will look nice with your black pants .,A2
Ĉiam estas homplena dum vendredoj noktoj.,It 's always crowded on Friday nights .,A2
"Ni pruntedonos al vi tion, kion ni havas.",We 'll lend you what we have .,A2
Carl alportis al mi grandan melonon kiel donacon.,Carl brought a big melon as a gift .,A2
"La viro, kiun mi vokis, ne estis en .",The man whom I called was not in .,A2
"Se ili eltrovos, mi perdus mian laboron.","If they found out , I 'd lose my job .",A2
La ringo ne akordiĝis.,The ring did not fit .,A2
"Mia telefono mortis, ĉu mi rajtas uzi vian?",My phone is dead ; may I use yours ?,A2
"Mi sciis, ke li povus diplomitiĝi en la mezlernejo.",I knew he could graduate from high school .,A2
Ĉu vi havas monon por kontribui al la nova programo?,Do you have any money to contribute to the new program ?,A2
Via letero alvenis.,Your letter has come .,A2
Bonvolu ne kaŭzi scenon .,Please do n't cause a scene .,A2
Viaj haroj estas same longaj kiel la mia.,Your hair is as long as mine .,A2
En kelkaj kulturoj oni ne forigas siajn ŝuojn hejme.,"In some cultures , people do not remove their shoes at home .",A2
"Mi ne volas, ke iu aŭdu nin.",I do n't want anyone to hear us .,A2
Mi devas aĉeti telefonon.,I need to buy a phone .,A2
Vi povas komenci la teston.,You may start the test .,A2
Hana ŝatis citronan guston.,Hana loved lemon flavored candy .,A2
Bonvolu akiri iom da kata manĝaĵo en la vendejo.,Please get some cat food at the store .,A2
Mi batalas por mia lando.,I fight for my country .,A2
Mi brulvundis mian fingron.,I burned my finger .,A2
Kattsuts' estas librotenisto por Tojota .,Katsue 's son is an accountant for Toyota .,A2
"Antaŭ ol vi transiras la straton, serĉu aŭtojn.","Before you cross the road , look out for cars .",A2
"Mi estus feliĉa, se ili estus ĉi tie.",I would be happy if they were here .,A2
"""Vi bone vizitu vian malsanan avinon.""",It 's good of you to visit your sick grandmother .,A2
Ili neniam antaŭe vidis neĝon.,They had never seen snow before .,A2
Malmultaj domoj estas konstruitaj el ligno.,Fewer homes are built of wood .,A2
"""Mi ne konfuziĝis, mi ĉagreniĝas!","I 'm not confused , I 'm upset !",A2
Ĉu mi povas havi koskelon?,Can I have a nickel ?,A2
Vi rajtas eliri por renkonti viajn amikojn .,You may go out to meet your friends .,A2
"Ĉu tiu estas la sama loko, kie mi trovis la alian orelringon?",Is that the same spot where I found the other earring ?,A2
Mi alvenis en la lernejo antaŭ mia fratino.,I arrived at school before my sister .,A2
Mia filo estas volejbala ludanto.,My son is a volleyball player .,A2
La prezidento pruntedonis al ili sian subtenon.,The president lent them his support .,A2
"Mi deziras, ke ni povu konservi tiujn paperojn por recikligo.",I wish we could have saved those papers for recycling .,A2
Estas tre malmultaj klientoj hodiaŭ.,There are very few customers today .,A2
Mi savis kelkajn biskvitojn.,I saved Walter some cookies .,A2
Monson sezonon en Azio komenciĝas en majo.,Monsoon season in Asia starts in May .,A2
Cepoj havas fortan odoron.,Onions have a strong smell .,A2
Kie estas miaj golfoj?,Where are my golf balls ?,A2
Panjo sendas al vi sian amon.,Mother sends you her love .,A2
"Mi deziras, ke ŝi ĉesu kanti.",I wish she would stop singing .,A2
Mia biciklo estis ŝtelita!,My bike was stolen !,A2
Tiu ridetanta knabino estas mia amiko.,That smiling girl is my friend .,A2
Estu laŭeble plej silenta.,Be as quiet as possible .,A2
Mi daŭrigos batali por miaj rajtoj.,I will continue to fight for my rights .,A2
Mi spektis balenon ĉi-somere.,I went whale watching this summer .,A2
Kiyko maltrafis manĝi rizon dum sia vojaĝo.,Kiyoko missed eating rice during her trip .,A2
"Victoria provis la novan, popularan tomatan dieton.","Victoria tried out the new , popular tomato diet .",A2
"Amy ĉiam surhavis sian fraton ""porko.",Amy was always wearing her brother 's sweater .,A2
Ŝi neniam surhavas orelringojn.,She never wears earrings .,A2
"Se li provus kuri al la trajno, li ofte kaptiĝus en la pordoj.","If he tried to run to the train , he would often get caught in the doors .",A2
Tiuj estas necesejofantofloj.,Those are toilet slippers .,A2
"Ĉu ĝi estas la loko, kie vi perdis ĝin?",Is it the area where you lost it ?,A2
"La instruisto ""la alveno finiĝis la konversacion inter Ben kaj Alissa .",The teacher 's arrival ended the conversation between Ben and Alisa .,A2
"Diru al mi, kion vi vidas.",Tell me what you see .,A2
Ĉu ĝi jam estas riparita?,Has it already been repaired ?,A2
"Kiu prenis la lastan pecon de ĉokolada kuko, kiun mi ŝparis?",Who took the last slice of chocolate cake that I was saving ?,A2
"Mi scias, kion fari poste.",I know what to do next .,A2
Mi scias kiel atingi Shibuyan.,I know how to get to Shibuya .,A2
Tiu virino staranta sur la scenejo estas tre saĝa kaj sukcesa.,That woman standing on the stage is very smart and successful .,A2
La hundo nomata Mortigilo estas lia.,The dog named Killer is his .,A2
Vi bezonas fiŝkapti ĉi tie.,You need a fishing license to fish here .,A2
Estas tre inteligenta studento en mia klaso .,There is a very smart student in my class .,A2
La filmo estas frapantackgogo.,The movie is Hitchcock 's .,A2
"Se li estus edziĝinta, ĝi estus en ordo.","If he had been married , it 'd be okay .",A2
Jen listo de aĉetendaj aferoj.,Here is a list of things to buy .,A2
"Se mi estus vi, mi aĉetus belan donacon por mia edzino.","If I were you , I would buy a lovely present for my wife .",A2
"Ĉu li iam diris, ke li bedaŭras?",Has he ever said he was sorry ?,A2
Diego kuiris sian koramikinon paella.,Diego cooked his girlfriend paella .,A2
Ĉu estas iaj eraroj?,Are there any errors ?,A2
Ŝi aspektas same juna kiel ŝia filino!,She looks as young as her daughter !,A2
Mi amas francajn vinojn.,I love French wines .,A2
"Mi ne bezonas, ke vi diru al mi, kion mi faru.",I do n't need you to tell me what to do .,A2
"Li scias, kiam li atingos la buson.",He knows when to catch the bus .,A2
Mi ne rajtis manĝi manĝeton hodiaŭ.,Ian was n't allowed to have snack today .,A2
Mi konis ilin ĉiujn tre bone ekde la dua lernejo.,I knew all of them very well since middle school .,A2
Kiel vi vundiĝis?,How did you get hurt ?,A2
La falinta arbo trafis la domon.,The fallen tree hit the house .,A2
Estis ses viroj en la ĉambro.,There were six men in the room .,A2
Estu hejme antaŭ la sunsubiro.,Be home before sunset .,A2
Mia fratino estas en decembro.,My sister 's birthday is in December .,A2
Ĉu la vendejo estas fermita?,Is the store closed ?,A2
Ĉu vi iam estis sola en nova lando?,Have you ever been alone in a new country ?,A2
Aŭ ĉu fini nun aŭ fari ĝin ĉi-nokte anstataŭ iri al la kinejo .,Either finish now or do it tonight instead of going to the movie .,A2
Ni venis ĉi tien por ferii.,We 've come here for a holiday .,A2
Turistoj ofte ŝatas manĝi suŝion en Tsukiji.,Tourists often like to eat sushi in Tsukiji .,A2
"John estis tiom ekscitita, ke li malfermis siajn donacojn tre rapide.",John was so excited he opened his presents very quickly .,A2
Iu ajn povas eniri.,Any person can come in .,A2
"Kion vi farus, se ŝi scius, ke vi estas ŝia vera patro?",What would you do if she knew you were her real father ?,A2
"Ĉu vi povus montri al mi, kiel uzi tiun ĉi bankmaŝinon?",Could you show me how to use this ATM machine ?,A2
Estas nekutime vidi flavan aŭton .,It 's unusual to see a yellow car .,A2
La raportitaj homoj estis trovitaj .,The people reported missing have been found .,A2
Vi ne devas endormiĝi.,You must not fall asleep .,A2
S-ro Jackson estas granda kaj tre facilas trovi .,Mr. Jackson 's office is big and it 's very easy to find .,A2
Mi vidos vin lunde.,I 'll see you on Monday .,A2
Estis belaj floroj en ĉiu ĉambro de la hospitalo.,There were beautiful flowers in every room of the hospital .,A2
Mia patro iris al la ĉielo.,My daddy has gone to heaven .,A2
Estis bone viziti miajn gepatrojn .,It was good to visit my parents .,A2
Mi iris al la nova dentisto por ripari miajn dentojn.,I went to the new dentist to have my teeth fixed .,A2
John provis kapti la kokinon.,John tried to catch the chicken .,A2
Mi ne parolas dum mi legas .,I ca n't talk while I 'm reading .,A2
Ĉu vi ŝatas frititan kokaĵon?,Do you like fried chicken ?,A2
Ĝi estis farita en Japanio.,It was made in Japan .,A2
Ili ankoraŭ ne foriris.,They have n't left yet .,A2
Ĉu vi vidis mian brunan zonon?,Have you seen my brown belt ?,A2
Mia patrino ŝatas fiŝkapti.,My mother likes fishing .,A2
Emma volis rozkoloran aŭton.,Emma wanted a pink car .,A2
Ĝi estis projektita de artisto.,It was designed by an artist .,A2
Li volis kelkajn el tio.,He wanted some of it .,A2
"Se li estus ĉi tie nun, li estus tiom fiera pri vi.","If he were here now , he would be so proud of you .",A2
Kies edzino estas tiu?,Whose wife is that ?,A2
La telefono daŭre sonoris.,The phone kept ringing .,A2
Neniu birdo vivas en tiu arbaro .,No birds live in that forest .,A2
Ĉu viaj botoj estas faritaj el ledo?,Are your boots made from leather ?,A2
Bonvolu memori alporti iom da mono.,Please remember to bring some money .,A2
Ankaŭ mi ne tre interesiĝas pri li.,I am not very interested in him either .,A2
La plimulto de la mezlernejo havas bazopilkan teamon .,Most high school have a baseball team .,A2
"Ĉu vi bonvolus peti vian edzinon, ke ŝi faru iom da speciala saŭco por la festo?",Would you please ask your wife to make some of her special sauce for the party ?,A2
"Se ĝi estus nova , mi aĉetus ĝin .","If it was new , I 'd buy it .",A2
"Ĉu vi opinias, ke Adam povos denove piediri?",Do you think that Adam will be able to walk again ?,A2
Ĝiaj baterioj mortis .,Its batteries have died .,A2
Estis virino kantanta ĉi-matene.,There was a woman singing this morning .,A2
Mi ĵetis la pilkon trans la sportejon.,I threw the ball across the gym .,B1
"Ŝi devis doni iom da pruvo, ke ŝi fakte laboris en la financa firmao en 2012.",She had to provide some proof that she actually worked at the financial firm in 2012 .,B1
Lucy ŝparas al Lindjo ĉiujn siajn malnovajn puloverojn kaj jupojn.,Lucy saves Linda all of her old sweaters and skirts .,B1
Lucy purigis la kemion ekipaĵon.,Lucy cleaned up the chemistry equipment .,B1
Ŝi pentris du jarojn kaj fine finis sian ĉefverkon.,She painted for two years and finally she finished her masterpiece .,B1
"Emily aspektis ravita, kiam ŝia patrino alportis pastaĵojn.",Emily looked delighted when her mother brought doughnuts .,B1
"Se almenaŭ ne estus demando , mi estus fininta ĝin nun.","If it was n't a question of time , I would be finished by now .",B1
Iru laŭeble plej rapide!,Go as quickly as you can !,B1
"Mi deziras, ke mi ne vidintus, kion tiu viro faris.",I wish I had not seen what that man did .,B1
La toasto bruliĝis ĝis nigra.,The toast was burned to black .,B1
"Jimmy finfine lernis, kiam li petos monon de sia patrino.",Jimmy eventually learned when to ask his mother for money .,B1
Anna staris inter siaj du fratinoj.,Anna was standing between her two sisters .,B1
En Azio rizo estas ĉefa manĝaĵo por la plej multaj homoj .,In Asia rice is a primary food for most people .,B1
Mi ŝatas rigardi fulmojn.,I love watching lightning storms .,B1
Estas amuze vidi hundon persekutatan de kato.,It is funny to see a dog chased by a cat .,B1
Sen la peza neĝo mi volonte irus kun vi.,"If it were not for the heavy snow , I 'd gladly go with you .",B1
Vi povas venigi tri gastojn al la okazaĵo.,You may bring up to three guests to the event .,B1
Vi certe lacas de via longa semajno kaj laborego.,You must be tired from your long week and heavy workload .,B1
"Se ili estus en Havajo, ili sentus sin multe pli malstreĉita.","If they were in Hawaii , they would feel much more relaxed .",B1
"Se vi vivus en Havajo, vi bezonus multe da kontraŭsuna kremo.","If you lived in Hawaii , you 'd need a lot of sunscreen .",B1
La prezidanto alvenis al la konferenco malfrue.,The president arrived to the conference late .,B1
"Ĉu la knaboj scias, kion ili faras por panjo?",Do the boys know what they are doing for Mother 's Day ?,B1
"Jack diras al li, kion li aĉetu por sia kampa vojaĝo.",Jack 's mother told him what to buy for his camping trip .,B1
Jack sendis siajn du valizojn plenaj de vestaĵoj antaŭ ol veni hejmen el la universitato kun alia valizo .,Jack sent his parents two suitcases full of clothes before coming home from university with another suitcase .,B1
Ben komencis ĉasi la meleagron.,Ben started chasing the turkey .,B1
Aĉetu eokoksaĵon estas same multekosta kiel aĉeti veran libron.,Buying an eBook is as expensive as buying a real book .,B1
"Estas rekta ligo inter tio, kion vi manĝas kaj kiel vi sentas.",There is a direct link between what you eat and how you feel .,B1
La pomo estis forblovita de la tablo .,The apple had rolled off the table .,B1
Pluraj volontuloj saltis en la akvon por provi savi la dronontan viron.,Several volunteers jumped into the water to try to save the drowning man .,B1
Li batis rekte en la nazon!,He got punched right in the nose !,B1
